,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value
0,Andaman and Nicobar Islands,nicobars,2000,kharif,Rice,102,321,3.147058824
1,Andaman and Nicobar Islands,nicobars,2001,kharif,Rice,83,300,3.614457831
2,Andaman and Nicobar Islands,nicobars,2002,kharif,Rice,189.2,510.84,2.7
3,Andaman and Nicobar Islands,nicobars,2003,kharif,Rice,52,90.17,1.734038462
4,Andaman and Nicobar Islands,nicobars,2004,kharif,Rice,52.94,72.57,1.370797129
5,Andaman and Nicobar Islands,nicobars,2005,kharif,Rice,2.09,12.06,5.770334928
7,Andhra Pradesh,anantapur,1997,kharif,Rice,35600,75400,2.117977528
9,Andhra Pradesh,anantapur,1998,kharif,Rice,38300,96800,2.527415144
11,Andhra Pradesh,anantapur,1999,kharif,Rice,37991,105082,2.765970888
13,Andhra Pradesh,anantapur,2000,kharif,Rice,39905,117680,2.949003884
15,Andhra Pradesh,anantapur,2001,kharif,Rice,32878,95609,2.907993187
17,Andhra Pradesh,anantapur,2002,kharif,Rice,29066,66329,2.282013349
19,Andhra Pradesh,anantapur,2003,kharif,Rice,17515,44891,2.56300314
21,Andhra Pradesh,anantapur,2004,kharif,Rice,24335,85051,3.495007191
23,Andhra Pradesh,anantapur,2005,kharif,Rice,25008,69972,2.797984645
25,Andhra Pradesh,anantapur,2006,kharif,Rice,22349,67427,3.017002998
27,Andhra Pradesh,anantapur,2007,kharif,Rice,30000,95000,3.166666667
29,Andhra Pradesh,anantapur,2008,kharif,Rice,30306,94615,3.121989045
31,Andhra Pradesh,anantapur,2009,kharif,Rice,32226,101512,3.150003103
33,Andhra Pradesh,anantapur,2010,kharif,Rice,34973,102007,2.916735768
35,Andhra Pradesh,anantapur,2011,kharif,Rice,37720,94531,2.506124072
37,Andhra Pradesh,anantapur,2012,kharif,Rice,22056,58691,2.660999275
39,Andhra Pradesh,anantapur,2013,kharif,Rice,28114,59377,2.112008252
41,Andhra Pradesh,anantapur,2014,kharif,Rice,22658,68155,3.007988348
44,Andhra Pradesh,chittoor,1997,kharif,Rice,42300,84400,1.995271868
46,Andhra Pradesh,chittoor,1998,kharif,Rice,42000,105400,2.50952381
48,Andhra Pradesh,chittoor,1999,kharif,Rice,37542,75477,2.010468276
50,Andhra Pradesh,chittoor,2000,kharif,Rice,33776,89236,2.641994315
52,Andhra Pradesh,chittoor,2001,kharif,Rice,24377,55311,2.268983058
54,Andhra Pradesh,chittoor,2002,kharif,Rice,20137,50020,2.483984705
56,Andhra Pradesh,chittoor,2003,kharif,Rice,18495,38562,2.084995945
58,Andhra Pradesh,chittoor,2004,kharif,Rice,19055,43331,2.273996326
60,Andhra Pradesh,chittoor,2005,kharif,Rice,16240,37173,2.288977833
62,Andhra Pradesh,chittoor,2006,kharif,Rice,17049,42520,2.493987917
64,Andhra Pradesh,chittoor,2007,kharif,Rice,15000,42000,2.8
66,Andhra Pradesh,chittoor,2008,kharif,Rice,17596,46242,2.627983633
68,Andhra Pradesh,chittoor,2009,kharif,Rice,19758,56192,2.844012552
70,Andhra Pradesh,chittoor,2010,kharif,Rice,18019,53639,2.976802264
72,Andhra Pradesh,chittoor,2011,kharif,Rice,17342,55719,3.212951217
74,Andhra Pradesh,chittoor,2012,kharif,Rice,12952,45241,3.492974058
76,Andhra Pradesh,chittoor,2013,kharif,Rice,15206,48766,3.207023543
78,Andhra Pradesh,chittoor,2014,kharif,Rice,13304,44462,3.342002405
81,Andhra Pradesh,east godavari,1997,kharif,Rice,214100,429300,2.005137786
83,Andhra Pradesh,east godavari,1998,kharif,Rice,256300,386600,1.508388607
85,Andhra Pradesh,east godavari,1999,kharif,Rice,244655,628606,2.569356849
87,Andhra Pradesh,east godavari,2000,kharif,Rice,253966,683423,2.691001945
89,Andhra Pradesh,east godavari,2001,kharif,Rice,220811,579850,2.626001422
91,Andhra Pradesh,east godavari,2002,kharif,Rice,194809,551115,2.82900174
93,Andhra Pradesh,east godavari,2003,kharif,Rice,234673,762453,3.249001803
95,Andhra Pradesh,east godavari,2004,kharif,Rice,224521,743614,3.312001995
97,Andhra Pradesh,east godavari,2005,kharif,Rice,217411,348727,1.603998878
99,Andhra Pradesh,east godavari,2006,kharif,Rice,227930,547716,2.403000921
101,Andhra Pradesh,east godavari,2007,kharif,Rice,242000,715000,2.954545455
103,Andhra Pradesh,east godavari,2008,kharif,Rice,240231,716609,2.982999696
105,Andhra Pradesh,east godavari,2009,kharif,Rice,202153,616567,3.050001731
107,Andhra Pradesh,east godavari,2010,kharif,Rice,237640,457704,1.926039387
109,Andhra Pradesh,east godavari,2011,kharif,Rice,197445,589741,2.986862164
111,Andhra Pradesh,east godavari,2012,kharif,Rice,232300,355651,1.530998709
113,Andhra Pradesh,east godavari,2013,kharif,Rice,235159,434104,1.846002067
115,Andhra Pradesh,east godavari,2014,kharif,Rice,226072,681833,3.015999328
118,Andhra Pradesh,guntur,1997,kharif,Rice,295000,845300,2.865423729
120,Andhra Pradesh,guntur,1998,kharif,Rice,298400,921400,3.087801609
122,Andhra Pradesh,guntur,1999,kharif,Rice,302886,969414,3.200590321
124,Andhra Pradesh,guntur,2000,kharif,Rice,292899,987363,3.371001608
126,Andhra Pradesh,guntur,2001,kharif,Rice,272468,935110,3.431999354
128,Andhra Pradesh,guntur,2002,kharif,Rice,202953,646811,3.18699896
130,Andhra Pradesh,guntur,2003,kharif,Rice,170487,482990,2.83300193
132,Andhra Pradesh,guntur,2004,kharif,Rice,240404,833961,3.46899802
134,Andhra Pradesh,guntur,2005,kharif,Rice,288879,892636,3.089999619
136,Andhra Pradesh,guntur,2006,kharif,Rice,288638,783941,2.716000665
138,Andhra Pradesh,guntur,2007,kharif,Rice,283000,976000,3.448763251
140,Andhra Pradesh,guntur,2008,kharif,Rice,281491,959321,3.407998835
142,Andhra Pradesh,guntur,2009,kharif,Rice,190526,683226,3.585998761
144,Andhra Pradesh,guntur,2010,kharif,Rice,271072,649760,2.397001535
146,Andhra Pradesh,guntur,2011,kharif,Rice,281790,1080921,3.83590972
148,Andhra Pradesh,guntur,2012,kharif,Rice,174699,607778,3.479001025
150,Andhra Pradesh,guntur,2013,kharif,Rice,280060,912716,3.259001643
152,Andhra Pradesh,guntur,2014,kharif,Rice,255607,1000190,3.912999253
155,Andhra Pradesh,krishna,1997,kharif,Rice,257900,699400,2.711903839
157,Andhra Pradesh,krishna,1998,kharif,Rice,280800,759900,2.706196581
159,Andhra Pradesh,krishna,1999,kharif,Rice,278415,834490,2.997288221
161,Andhra Pradesh,krishna,2000,kharif,Rice,281343,868787,3.087999346
163,Andhra Pradesh,krishna,2001,kharif,Rice,245114,714507,2.914998735
165,Andhra Pradesh,krishna,2002,kharif,Rice,243910,761243,3.120999549
167,Andhra Pradesh,krishna,2003,kharif,Rice,222367,526565,2.367999748
169,Andhra Pradesh,krishna,2004,kharif,Rice,245306,804849,3.281000057
171,Andhra Pradesh,krishna,2005,kharif,Rice,254919,697203,2.734998176
173,Andhra Pradesh,krishna,2006,kharif,Rice,251433,521221,2.073001555
175,Andhra Pradesh,krishna,2007,kharif,Rice,261000,944000,3.616858238
177,Andhra Pradesh,krishna,2008,kharif,Rice,273878,959395,3.503001336
179,Andhra Pradesh,krishna,2009,kharif,Rice,228196,784310,3.437001525
181,Andhra Pradesh,krishna,2010,kharif,Rice,260350,722978,2.776946418
183,Andhra Pradesh,krishna,2011,kharif,Rice,262826,980105,3.729102144
185,Andhra Pradesh,krishna,2012,kharif,Rice,253166,908360,3.588001548
187,Andhra Pradesh,krishna,2013,kharif,Rice,264371,773285,2.924999338
189,Andhra Pradesh,krishna,2014,kharif,Rice,235212,788901,3.353999796
192,Andhra Pradesh,kurnool,1997,kharif,Rice,66300,176900,2.668174962
194,Andhra Pradesh,kurnool,1998,kharif,Rice,75100,221700,2.952063915
196,Andhra Pradesh,kurnool,1999,kharif,Rice,81640,225431,2.761281235
198,Andhra Pradesh,kurnool,2000,kharif,Rice,93188,307427,3.298997725
200,Andhra Pradesh,kurnool,2001,kharif,Rice,43617,121779,2.792007703
202,Andhra Pradesh,kurnool,2002,kharif,Rice,47948,100499,2.095999833
204,Andhra Pradesh,kurnool,2003,kharif,Rice,34618,100635,2.907013692
206,Andhra Pradesh,kurnool,2004,kharif,Rice,61465,210702,3.427999675
208,Andhra Pradesh,kurnool,2005,kharif,Rice,88555,292586,3.304003162
210,Andhra Pradesh,kurnool,2006,kharif,Rice,80692,270238,3.349006097
212,Andhra Pradesh,kurnool,2007,kharif,Rice,90000,332000,3.688888889
214,Andhra Pradesh,kurnool,2008,kharif,Rice,84066,279856,3.329003402
216,Andhra Pradesh,kurnool,2009,kharif,Rice,81908,256454,3.131000635
218,Andhra Pradesh,kurnool,2010,kharif,Rice,104110,291475,2.799683028
220,Andhra Pradesh,kurnool,2011,kharif,Rice,91984,333882,3.629783441
222,Andhra Pradesh,kurnool,2012,kharif,Rice,72625,276774,3.811001721
224,Andhra Pradesh,kurnool,2013,kharif,Rice,92596,340383,3.676001123
226,Andhra Pradesh,kurnool,2014,kharif,Rice,91569,361514,3.947995501
229,Andhra Pradesh,prakasam,1997,kharif,Rice,62000,124300,2.00483871
231,Andhra Pradesh,prakasam,1998,kharif,Rice,72100,206700,2.866851595
233,Andhra Pradesh,prakasam,1999,kharif,Rice,70189,190583,2.715283022
235,Andhra Pradesh,prakasam,2000,kharif,Rice,50601,156559,3.093990237
237,Andhra Pradesh,prakasam,2001,kharif,Rice,40841,134204,3.286011606
239,Andhra Pradesh,prakasam,2002,kharif,Rice,19256,46927,2.437006647
241,Andhra Pradesh,prakasam,2003,kharif,Rice,14621,41992,2.872033377
243,Andhra Pradesh,prakasam,2004,kharif,Rice,27435,95446,3.478986696
245,Andhra Pradesh,prakasam,2005,kharif,Rice,54390,144351,2.653998897
247,Andhra Pradesh,prakasam,2006,kharif,Rice,41191,124809,3.030006555
249,Andhra Pradesh,prakasam,2007,kharif,Rice,47000,173000,3.680851064
251,Andhra Pradesh,prakasam,2008,kharif,Rice,47434,167774,3.536998777
253,Andhra Pradesh,prakasam,2009,kharif,Rice,32959,117730,3.572013714
255,Andhra Pradesh,prakasam,2010,kharif,Rice,48878,143300,2.931789353
257,Andhra Pradesh,prakasam,2011,kharif,Rice,39122,134932,3.449005675
259,Andhra Pradesh,prakasam,2012,kharif,Rice,17820,64027,3.59298541
261,Andhra Pradesh,prakasam,2013,kharif,Rice,58034,213391,3.67699969
263,Andhra Pradesh,prakasam,2014,kharif,Rice,31764,121783,3.833994459
266,Andhra Pradesh,nellore,1997,kharif,Rice,48700,127600,2.620123203
268,Andhra Pradesh,nellore,1998,kharif,Rice,44700,133400,2.984340045
270,Andhra Pradesh,nellore,1999,kharif,Rice,45768,136695,2.98669376
272,Andhra Pradesh,nellore,2000,kharif,Rice,55041,171563,3.117003688
274,Andhra Pradesh,nellore,2001,kharif,Rice,34297,108413,3.161005336
276,Andhra Pradesh,nellore,2002,kharif,Rice,45511,149276,3.279998242
278,Andhra Pradesh,nellore,2003,kharif,Rice,17885,49756,2.781996086
280,Andhra Pradesh,nellore,2004,kharif,Rice,19326,56432,2.92000414
282,Andhra Pradesh,nellore,2005,kharif,Rice,18036,55190,3.059991129
284,Andhra Pradesh,nellore,2006,kharif,Rice,60057,197167,3.282997819
286,Andhra Pradesh,nellore,2007,kharif,Rice,46000,162000,3.52173913
288,Andhra Pradesh,nellore,2008,kharif,Rice,65233,233795,3.583998896
290,Andhra Pradesh,nellore,2009,kharif,Rice,67894,220248,3.243997997
292,Andhra Pradesh,nellore,2010,kharif,Rice,69873,228485,3.27000415
294,Andhra Pradesh,nellore,2011,kharif,Rice,53137,195269,3.674821687
296,Andhra Pradesh,nellore,2012,kharif,Rice,53866,214710,3.986002302
298,Andhra Pradesh,nellore,2013,kharif,Rice,32241,115455,3.580999349
300,Andhra Pradesh,nellore,2014,kharif,Rice,62232,232561,3.737000257
303,Andhra Pradesh,srikakulam,1997,kharif,Rice,185700,278500,1.499730749
305,Andhra Pradesh,srikakulam,1998,kharif,Rice,194400,370700,1.906893004
307,Andhra Pradesh,srikakulam,1999,kharif,Rice,189027,323525,1.711527983
309,Andhra Pradesh,srikakulam,2000,kharif,Rice,207461,399155,1.924000174
311,Andhra Pradesh,srikakulam,2001,kharif,Rice,178771,393654,2.202001443
313,Andhra Pradesh,srikakulam,2002,kharif,Rice,153148,267550,1.747002899
315,Andhra Pradesh,srikakulam,2003,kharif,Rice,188219,421799,2.241001174
317,Andhra Pradesh,srikakulam,2004,kharif,Rice,190795,448561,2.351010247
319,Andhra Pradesh,srikakulam,2005,kharif,Rice,153521,271425,1.767999166
321,Andhra Pradesh,srikakulam,2006,kharif,Rice,193994,491775,2.535001083
323,Andhra Pradesh,srikakulam,2007,kharif,Rice,201000,613000,3.049751244
325,Andhra Pradesh,srikakulam,2008,kharif,Rice,203172,408376,2.010001378
327,Andhra Pradesh,srikakulam,2009,kharif,Rice,177058,371822,2.10000113
329,Andhra Pradesh,srikakulam,2010,kharif,Rice,205853,167482,0.813599996
331,Andhra Pradesh,srikakulam,2011,kharif,Rice,208239,399240,1.917220117
333,Andhra Pradesh,srikakulam,2012,kharif,Rice,205859,520823,2.529998688
335,Andhra Pradesh,srikakulam,2013,kharif,Rice,199717,347108,1.737999269
337,Andhra Pradesh,srikakulam,2014,kharif,Rice,205485,434806,2.115998735
340,Andhra Pradesh,visakhapatnam,1997,kharif,Rice,95600,79700,0.833682008
342,Andhra Pradesh,visakhapatnam,1998,kharif,Rice,114900,141300,1.229765013
344,Andhra Pradesh,visakhapatnam,1999,kharif,Rice,103372,134010,1.296385869
346,Andhra Pradesh,visakhapatnam,2000,kharif,Rice,115239,183345,1.590997839
348,Andhra Pradesh,visakhapatnam,2001,kharif,Rice,86579,145020,1.675002021
350,Andhra Pradesh,visakhapatnam,2002,kharif,Rice,61964,61344,0.98999419
352,Andhra Pradesh,visakhapatnam,2003,kharif,Rice,84676,136836,1.615995087
354,Andhra Pradesh,visakhapatnam,2004,kharif,Rice,95187,160771,1.689001649
356,Andhra Pradesh,visakhapatnam,2005,kharif,Rice,84808,125007,1.474000094
358,Andhra Pradesh,visakhapatnam,2006,kharif,Rice,93133,178070,1.911996822
360,Andhra Pradesh,visakhapatnam,2007,kharif,Rice,96000,195000,2.03125
362,Andhra Pradesh,visakhapatnam,2008,kharif,Rice,99378,167253,1.682998249
364,Andhra Pradesh,visakhapatnam,2009,kharif,Rice,65447,69112,1.055999511
366,Andhra Pradesh,visakhapatnam,2010,kharif,Rice,110289,192378,1.744308136
368,Andhra Pradesh,visakhapatnam,2011,kharif,Rice,109505,166766,1.52290763
370,Andhra Pradesh,visakhapatnam,2012,kharif,Rice,98718,141562,1.43400393
372,Andhra Pradesh,visakhapatnam,2013,kharif,Rice,98637,171530,1.739002606
374,Andhra Pradesh,visakhapatnam,2014,kharif,Rice,98190,159755,1.626998676
377,Andhra Pradesh,vizianagaram,1997,kharif,Rice,130500,185600,1.422222222
379,Andhra Pradesh,vizianagaram,1998,kharif,Rice,133000,295600,2.222556391
381,Andhra Pradesh,vizianagaram,1999,kharif,Rice,132185,250846,1.897688845
383,Andhra Pradesh,vizianagaram,2000,kharif,Rice,129907,214347,1.650003464
385,Andhra Pradesh,vizianagaram,2001,kharif,Rice,106296,199624,1.878001054
387,Andhra Pradesh,vizianagaram,2002,kharif,Rice,93995,115426,1.228001489
389,Andhra Pradesh,vizianagaram,2003,kharif,Rice,108694,228366,2.100999135
391,Andhra Pradesh,vizianagaram,2004,kharif,Rice,125205,291352,2.32699972
393,Andhra Pradesh,vizianagaram,2005,kharif,Rice,94336,131127,1.389999576
395,Andhra Pradesh,vizianagaram,2006,kharif,Rice,117452,281532,2.39699622
397,Andhra Pradesh,vizianagaram,2007,kharif,Rice,124000,362000,2.919354839
399,Andhra Pradesh,vizianagaram,2008,kharif,Rice,128964,307966,2.387999752
401,Andhra Pradesh,vizianagaram,2009,kharif,Rice,104550,229801,2.198000956
403,Andhra Pradesh,vizianagaram,2010,kharif,Rice,126290,325213,2.575128672
405,Andhra Pradesh,vizianagaram,2011,kharif,Rice,123491,265106,2.146763732
407,Andhra Pradesh,vizianagaram,2012,kharif,Rice,119079,306509,2.573997094
409,Andhra Pradesh,vizianagaram,2013,kharif,Rice,109271,270446,2.475002517
411,Andhra Pradesh,vizianagaram,2014,kharif,Rice,119229,314526,2.637999145
414,Andhra Pradesh,west godavari,1997,kharif,Rice,247200,630400,2.550161812
416,Andhra Pradesh,west godavari,1998,kharif,Rice,262000,646400,2.467175573
418,Andhra Pradesh,west godavari,1999,kharif,Rice,267083,685440,2.566393219
420,Andhra Pradesh,west godavari,2000,kharif,Rice,272901,794415,2.911000693
422,Andhra Pradesh,west godavari,2001,kharif,Rice,222720,576622,2.588999641
424,Andhra Pradesh,west godavari,2002,kharif,Rice,214554,659110,3.072000522
426,Andhra Pradesh,west godavari,2003,kharif,Rice,232235,812590,3.498998859
428,Andhra Pradesh,west godavari,2004,kharif,Rice,244235,842122,3.447998854
430,Andhra Pradesh,west godavari,2005,kharif,Rice,253521,475859,1.877000327
432,Andhra Pradesh,west godavari,2006,kharif,Rice,245236,682001,2.780998711
434,Andhra Pradesh,west godavari,2007,kharif,Rice,254000,825000,3.248031496
436,Andhra Pradesh,west godavari,2008,kharif,Rice,255444,778593,3.047998779
438,Andhra Pradesh,west godavari,2009,kharif,Rice,212887,660163,3.10100194
440,Andhra Pradesh,west godavari,2010,kharif,Rice,256147,558800,2.181559807
442,Andhra Pradesh,west godavari,2011,kharif,Rice,240266,764242,3.180816262
444,Andhra Pradesh,west godavari,2012,kharif,Rice,242832,482993,1.989000626
446,Andhra Pradesh,west godavari,2013,kharif,Rice,240396,521419,2.169000316
448,Andhra Pradesh,west godavari,2014,kharif,Rice,231475,733313,3.168000864
451,Arunachal Pradesh,anjaw,2004,kharif,Rice,3342,1914,0.572710952
452,Arunachal Pradesh,anjaw,2005,kharif,Rice,3400,5000,1.470588235
453,Arunachal Pradesh,anjaw,2006,kharif,Rice,4060,3004,0.739901478
454,Arunachal Pradesh,anjaw,2007,kharif,Rice,4085,2530,0.619339045
455,Arunachal Pradesh,anjaw,2008,kharif,Rice,3901,2516,0.64496283
456,Arunachal Pradesh,anjaw,2009,kharif,Rice,3945,2355.33,0.597041825
457,Arunachal Pradesh,anjaw,2010,kharif,Rice,3949,3631,0.919473284
458,Arunachal Pradesh,anjaw,2011,kharif,Rice,3489,2988,0.856405847
459,Arunachal Pradesh,anjaw,2012,kharif,Rice,3561,2996,0.841336703
460,Arunachal Pradesh,anjaw,2013,kharif,Rice,3561,2624,0.736871665
461,Arunachal Pradesh,anjaw,2014,kharif,Rice,3561,2394,0.672283067
462,Arunachal Pradesh,changlang,1997,kharif,Rice,11500,13800,1.2
463,Arunachal Pradesh,changlang,1998,kharif,Rice,11550,14316,1.239480519
464,Arunachal Pradesh,changlang,1999,kharif,Rice,11600,13733,1.18387931
465,Arunachal Pradesh,changlang,2000,kharif,Rice,11925,16387,1.374171908
466,Arunachal Pradesh,changlang,2001,kharif,Rice,11857,16250,1.37049844
467,Arunachal Pradesh,changlang,2002,kharif,Rice,11860,16780,1.414839798
468,Arunachal Pradesh,changlang,2003,kharif,Rice,11867,18508,1.559619112
469,Arunachal Pradesh,changlang,2004,kharif,Rice,11885,18630,1.567522087
470,Arunachal Pradesh,changlang,2005,kharif,Rice,11905,18667,1.56799664
471,Arunachal Pradesh,changlang,2006,kharif,Rice,6191,10606,1.713131966
472,Arunachal Pradesh,changlang,2007,kharif,Rice,15622,27398,1.753808731
473,Arunachal Pradesh,changlang,2008,kharif,Rice,16763,35010,2.088528306
474,Arunachal Pradesh,changlang,2009,kharif,Rice,8519,15639.33,1.835817584
475,Arunachal Pradesh,changlang,2010,kharif,Rice,9585,18265,1.905581638
476,Arunachal Pradesh,changlang,2011,kharif,Rice,10260,20873,2.034405458
477,Arunachal Pradesh,changlang,2012,kharif,Rice,9605,19512,2.031441957
478,Arunachal Pradesh,changlang,2013,kharif,Rice,9681,19750,2.040078504
479,Arunachal Pradesh,changlang,2014,kharif,Rice,9081,20169,2.221010902
480,Arunachal Pradesh,dibang valley,1997,kharif,Rice,10310,12400,1.20271581
481,Arunachal Pradesh,dibang valley,1998,kharif,Rice,10320,12900,1.25
482,Arunachal Pradesh,dibang valley,1999,kharif,Rice,10000,13237,1.3237
483,Arunachal Pradesh,dibang valley,2000,kharif,Rice,10450,13400,1.282296651
484,Arunachal Pradesh,dibang valley,2001,kharif,Rice,5400,3840,0.711111111
485,Arunachal Pradesh,dibang valley,2002,kharif,Rice,1691,1522,0.900059137
486,Arunachal Pradesh,dibang valley,2003,kharif,Rice,1700,1700,1
487,Arunachal Pradesh,dibang valley,2004,kharif,Rice,916,870,0.949781659
488,Arunachal Pradesh,dibang valley,2005,kharif,Rice,1000,691,0.691
489,Arunachal Pradesh,dibang valley,2006,kharif,Rice,1235,1273,1.030769231
490,Arunachal Pradesh,dibang valley,2007,kharif,Rice,1200,839,0.699166667
491,Arunachal Pradesh,dibang valley,2008,kharif,Rice,1200,839,0.699166667
492,Arunachal Pradesh,dibang valley,2009,kharif,Rice,1200,838.66,0.698883333
493,Arunachal Pradesh,dibang valley,2010,kharif,Rice,1585,1268,0.8
494,Arunachal Pradesh,dibang valley,2011,kharif,Rice,1610,1382,0.858385093
495,Arunachal Pradesh,dibang valley,2012,kharif,Rice,1682,1420,0.844233056
496,Arunachal Pradesh,dibang valley,2013,kharif,Rice,1690,1486,0.879289941
497,Arunachal Pradesh,dibang valley,2014,kharif,Rice,1690,1485,0.878698225
498,Arunachal Pradesh,east kameng,1997,kharif,Rice,8945,9200,1.028507546
499,Arunachal Pradesh,east kameng,1998,kharif,Rice,8045,8190,1.018023617
500,Arunachal Pradesh,east kameng,1999,kharif,Rice,9595,12665,1.319958312
501,Arunachal Pradesh,east kameng,2000,kharif,Rice,8200,9840,1.2
502,Arunachal Pradesh,east kameng,2001,kharif,Rice,12310,16790,1.363931763
503,Arunachal Pradesh,east kameng,2002,kharif,Rice,8500,10715,1.260588235
504,Arunachal Pradesh,east kameng,2003,kharif,Rice,8510,10725,1.260282021
505,Arunachal Pradesh,east kameng,2004,kharif,Rice,8515,6651,0.78109219
506,Arunachal Pradesh,east kameng,2005,kharif,Rice,8538,3158,0.369875849
507,Arunachal Pradesh,east kameng,2006,kharif,Rice,8235,6313,0.76660595
508,Arunachal Pradesh,east kameng,2007,kharif,Rice,8200,6952,0.847804878
509,Arunachal Pradesh,east kameng,2008,kharif,Rice,8250,6933,0.840363636
510,Arunachal Pradesh,east kameng,2009,kharif,Rice,8260,6993.33,0.846650121
511,Arunachal Pradesh,east kameng,2010,kharif,Rice,8267,7178,0.868271441
512,Arunachal Pradesh,east kameng,2011,kharif,Rice,8398,7822,0.931412241
513,Arunachal Pradesh,east kameng,2012,kharif,Rice,8768,8442,0.962819343
514,Arunachal Pradesh,east kameng,2013,kharif,Rice,8968,9087,1.013269402
515,Arunachal Pradesh,east kameng,2014,kharif,Rice,8968,9436,1.052185549
516,Arunachal Pradesh,east siang,1997,kharif,Rice,10200,15525,1.522058824
517,Arunachal Pradesh,east siang,1998,kharif,Rice,7323,12600,1.720606309
518,Arunachal Pradesh,east siang,1999,kharif,Rice,11600,19261,1.660431034
519,Arunachal Pradesh,east siang,2000,kharif,Rice,12310,19500,1.584077985
520,Arunachal Pradesh,east siang,2001,kharif,Rice,5400,5000,0.925925926
521,Arunachal Pradesh,east siang,2002,kharif,Rice,12330,26605,2.157745337
522,Arunachal Pradesh,east siang,2003,kharif,Rice,12100,28000,2.314049587
523,Arunachal Pradesh,east siang,2004,kharif,Rice,12526,17499,1.39701421
524,Arunachal Pradesh,east siang,2005,kharif,Rice,12800,19535,1.526171875
525,Arunachal Pradesh,east siang,2006,kharif,Rice,13137,19729,1.501788841
526,Arunachal Pradesh,east siang,2007,kharif,Rice,13000,19799,1.523
527,Arunachal Pradesh,east siang,2008,kharif,Rice,13142,19761,1.503652412
528,Arunachal Pradesh,east siang,2009,kharif,Rice,14147,20775.33,1.468532551
529,Arunachal Pradesh,east siang,2010,kharif,Rice,15137,24103,1.592323446
530,Arunachal Pradesh,east siang,2011,kharif,Rice,15378,26268,1.708154506
531,Arunachal Pradesh,east siang,2012,kharif,Rice,16770,27098,1.615861658
532,Arunachal Pradesh,east siang,2013,kharif,Rice,16770,27044,1.612641622
533,Arunachal Pradesh,east siang,2014,kharif,Rice,16120,27463,1.70366005
534,Arunachal Pradesh,kurung kumey,2002,kharif,Rice,6300,7440,1.180952381
535,Arunachal Pradesh,kurung kumey,2003,kharif,Rice,7434,6375,0.857546408
536,Arunachal Pradesh,kurung kumey,2004,kharif,Rice,6300,7434,1.18
537,Arunachal Pradesh,kurung kumey,2005,kharif,Rice,6375,7530,1.181176471
538,Arunachal Pradesh,kurung kumey,2006,kharif,Rice,6000,5095,0.849166667
539,Arunachal Pradesh,kurung kumey,2007,kharif,Rice,500,615,1.23
540,Arunachal Pradesh,kurung kumey,2008,kharif,Rice,500,615,1.23
541,Arunachal Pradesh,kurung kumey,2009,kharif,Rice,500,615.33,1.23066
542,Arunachal Pradesh,kurung kumey,2010,kharif,Rice,400,527,1.3175
543,Arunachal Pradesh,kurung kumey,2011,kharif,Rice,406,574,1.413793103
544,Arunachal Pradesh,kurung kumey,2012,kharif,Rice,410,590,1.43902439
545,Arunachal Pradesh,kurung kumey,2013,kharif,Rice,53,74,1.396226415
546,Arunachal Pradesh,kurung kumey,2014,kharif,Rice,53,74,1.396226415
547,Arunachal Pradesh,lohit,1997,kharif,Rice,15070,19600,1.300597213
548,Arunachal Pradesh,lohit,1998,kharif,Rice,13015,18221,1.4
549,Arunachal Pradesh,lohit,1999,kharif,Rice,14000,20900,1.492857143
550,Arunachal Pradesh,lohit,2000,kharif,Rice,13980,13630,0.974964235
551,Arunachal Pradesh,lohit,2001,kharif,Rice,10900,14170,1.3
552,Arunachal Pradesh,lohit,2002,kharif,Rice,14158,12883,0.909944907
553,Arunachal Pradesh,lohit,2003,kharif,Rice,14257,19390,1.360033668
554,Arunachal Pradesh,lohit,2004,kharif,Rice,8227,9872,1.19995138
555,Arunachal Pradesh,lohit,2005,kharif,Rice,8500,11759,1.383411765
556,Arunachal Pradesh,lohit,2006,kharif,Rice,10500,17010,1.62
557,Arunachal Pradesh,lohit,2007,kharif,Rice,10300,16833,1.634271845
558,Arunachal Pradesh,lohit,2008,kharif,Rice,10412,17952,1.724164426
559,Arunachal Pradesh,lohit,2009,kharif,Rice,11770,19541.33,1.66026593
560,Arunachal Pradesh,lohit,2010,kharif,Rice,11654,20263,1.738716321
561,Arunachal Pradesh,lohit,2011,kharif,Rice,11839,22082,1.865191317
562,Arunachal Pradesh,lohit,2012,kharif,Rice,12239,23512,1.921071983
563,Arunachal Pradesh,lohit,2013,kharif,Rice,12150,21662,1.782880658
564,Arunachal Pradesh,lohit,2014,kharif,Rice,11450,22080,1.928384279
565,Arunachal Pradesh,longding,2013,kharif,Rice,2890,2504,0.866435986
566,Arunachal Pradesh,longding,2014,kharif,Rice,2890,2923,1.011418685
567,Arunachal Pradesh,lower dibang valley,2002,kharif,Rice,9580,13500,1.409185804
568,Arunachal Pradesh,lower dibang valley,2003,kharif,Rice,9650,11100,1.150259067
569,Arunachal Pradesh,lower dibang valley,2004,kharif,Rice,9655,14895,1.542723977
570,Arunachal Pradesh,lower dibang valley,2005,kharif,Rice,9700,15035,1.55
571,Arunachal Pradesh,lower dibang valley,2006,kharif,Rice,10736,14149,1.317902385
572,Arunachal Pradesh,lower dibang valley,2007,kharif,Rice,10950,13477,1.230776256
573,Arunachal Pradesh,lower dibang valley,2008,kharif,Rice,11059,13610,1.230671851
