,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
147,ANDHRA PRADESH,prakasam,2005,kharif,Rice,54390,144351,0,95446,41992,958.8,757.8
148,ANDHRA PRADESH,prakasam,2006,kharif,Rice,41191,124809,0,144351,95446,869,958.8
149,ANDHRA PRADESH,prakasam,2007,kharif,Rice,47000,173000,0,124809,144351,899.8,869
150,ANDHRA PRADESH,prakasam,2008,kharif,Rice,47434,167774,0,173000,124809,937.7,899.8
151,ANDHRA PRADESH,prakasam,2009,kharif,Rice,32959,117730,0,167774,173000,635.1,937.7
152,ANDHRA PRADESH,prakasam,2010,kharif,Rice,48878,143300,0,117730,167774,1403,635.1
177,ANDHRA PRADESH,srikakulam,1999,kharif,Rice,189027,323525,0,370700,278500,792.555,1302.844
178,ANDHRA PRADESH,srikakulam,2000,kharif,Rice,207461,399155,0,323525,370700,843.453,792.555
179,ANDHRA PRADESH,srikakulam,2001,kharif,Rice,178771,393654,0,399155,323525,940.191,843.453
180,ANDHRA PRADESH,srikakulam,2002,kharif,Rice,153148,267550,0,393654,399155,743.58,940.191
183,ANDHRA PRADESH,srikakulam,2005,kharif,Rice,153521,271425,0,448561,421799,1155.5,1042.8
184,ANDHRA PRADESH,srikakulam,2006,kharif,Rice,193994,491775,0,271425,448561,1358.5,1155.5
185,ANDHRA PRADESH,srikakulam,2007,kharif,Rice,201000,613000,0,491775,271425,1213.6,1358.5
186,ANDHRA PRADESH,srikakulam,2008,kharif,Rice,203172,408376,0,613000,491775,1047.9,1213.6
187,ANDHRA PRADESH,srikakulam,2009,kharif,Rice,177058,371822,0,408376,613000,874.3,1047.9
188,ANDHRA PRADESH,srikakulam,2010,kharif,Rice,205853,167482,0,371822,408376,1700.5,874.3
213,ANDHRA PRADESH,vizianagaram,1999,kharif,Rice,132185,250846,1,295600,185600,921.461,1421.185
214,ANDHRA PRADESH,vizianagaram,2000,kharif,Rice,129907,214347,1,250846,295600,1010.49,921.461
215,ANDHRA PRADESH,vizianagaram,2001,kharif,Rice,106296,199624,1,214347,250846,1082.915,1010.49
216,ANDHRA PRADESH,vizianagaram,2002,kharif,Rice,93995,115426,1,199624,214347,874.955,1082.915
219,ANDHRA PRADESH,vizianagaram,2005,kharif,Rice,94336,131127,1,291352,228366,1336.5,1034.5
220,ANDHRA PRADESH,vizianagaram,2006,kharif,Rice,117452,281532,1,131127,291352,1273.4,1336.5
221,ANDHRA PRADESH,vizianagaram,2007,kharif,Rice,124000,362000,1,281532,131127,1224.7,1273.4
222,ANDHRA PRADESH,vizianagaram,2008,kharif,Rice,128964,307966,1,362000,281532,1069.3,1224.7
223,ANDHRA PRADESH,vizianagaram,2009,kharif,Rice,104550,229801,1,307966,362000,1032.4,1069.3
224,ANDHRA PRADESH,vizianagaram,2010,kharif,Rice,126290,325213,1,229801,307966,1647.9,1032.4
231,ANDHRA PRADESH,west godavari,1999,kharif,Rice,267083,685440,0,646400,630400,695.12,1029.969
232,ANDHRA PRADESH,west godavari,2000,kharif,Rice,272901,794415,0,685440,646400,1254.92,695.12
233,ANDHRA PRADESH,west godavari,2001,kharif,Rice,222720,576622,0,794415,685440,962.206,1254.92
234,ANDHRA PRADESH,west godavari,2002,kharif,Rice,214554,659110,0,576622,794415,748.588,962.206
237,ANDHRA PRADESH,west godavari,2005,kharif,Rice,253521,475859,0,842122,812590,1212.6,833
238,ANDHRA PRADESH,west godavari,2006,kharif,Rice,245236,682001,0,475859,842122,1092.7,1212.6
239,ANDHRA PRADESH,west godavari,2007,kharif,Rice,254000,825000,0,682001,475859,1139,1092.7
240,ANDHRA PRADESH,west godavari,2008,kharif,Rice,255444,778593,0,825000,682001,1234.1,1139
241,ANDHRA PRADESH,west godavari,2009,kharif,Rice,212887,660163,0,778593,825000,753.1,1234.1
242,ANDHRA PRADESH,west godavari,2010,kharif,Rice,256147,558800,0,660163,778593,1900.7,753.1
522,BIHAR,araria,2001,kharif,Rice,15573,33183,0,31507,23238,1066.516,1044.784
526,BIHAR,banka,2001,kharif,Rice,52,106,1,2,114,888.148,857.4
530,BIHAR,begusarai,2001,kharif,Rice,342,570,1,7590,10626,768.432,749.782
533,BIHAR,bhagalpur,2001,kharif,Rice,496,946,1,1432,1216,874.229,840.907
536,BIHAR,bhojpur,2001,kharif,Rice,9,15,1,785,656,683.937,603.932
539,BIHAR,darbhanga,2001,kharif,Rice,933,1063,1,20077,11073,823.717,762.72
542,BIHAR,gaya,2001,kharif,Rice,7,12,0,2,506,717.926,669.926
545,BIHAR,gopalganj,2001,kharif,Rice,35,72,1,68344,82444,755.853,653.951
549,BIHAR,jehanabad,2001,kharif,Rice,2,3,0,4,3,689.501,638.257
554,BIHAR,katihar,2001,kharif,Rice,39998,80525,0,12868,9117,1023.604,981.668
557,BIHAR,khagaria,2001,kharif,Rice,1001,1670,1,1819,5465,805.762,788.762
560,BIHAR,kishanganj,2001,kharif,Rice,11836,21144,0,20153,7408,1307.538,1290.797
563,BIHAR,madhepura,2001,kharif,Rice,1388,2035,0,27435,22287,855.348,836.46
566,BIHAR,madhubani,2001,kharif,Rice,3362,4879,1,37013,43125,882.841,819.027
570,BIHAR,muzaffarpur,2001,kharif,Rice,800,1464,1,35774,20166,788.361,698.09
573,BIHAR,nawada,2001,kharif,Rice,41,75,1,57,57,758.996,730.894
579,BIHAR,patna,2001,kharif,Rice,163,276,1,840,700,712.239,666.79
585,BIHAR,purnia,2001,kharif,Rice,20748,43473,0,45343,17118,982.91,955.188
588,BIHAR,rohtas,2001,kharif,Rice,497,1011,1,792,775,694.201,624.869
591,BIHAR,saharsa,2001,kharif,Rice,7388,12350,0,38797,17285,813.346,797.273
594,BIHAR,samastipur,2001,kharif,Rice,1273,1651,2,35235,40533,765.714,731.332
600,BIHAR,sheohar,2001,kharif,Rice,53,108,1,5577,6655,828.302,732.256
603,BIHAR,sitamarhi,2001,kharif,Rice,1260,2419,1,26911,28272,893.114,805.404
